Date,Close/Last,Volume,Open,High,Low
03/15/2021,$108.9,7111401,$107.89,$108.95,$107.06
03/12/2021,$107.81,3356023,$107.42,$107.99,$106.58
03/11/2021,$107.32,4670732,$108.41,$108.57,$107.26
03/10/2021,$107.78,6076974,$107.22,$109.07,$106.96
03/09/2021,$106.55,5510948,$106.28,$107.97,$105.83
03/08/2021,$105.03,5119532,$104.8,$106.89,$104.23
03/05/2021,$105.2,5559905,$106.06,$106.06,$102.75
03/04/2021,$104.89,7211833,$106.26,$107.17,$103.85
03/03/2021,$106.22,5313426,$106.94,$107.96,$106.12
03/02/2021,$107.2,5016782,$107.31,$108.2499,$105.82
03/01/2021,$106.87,7931631,$108.6,$110.47,$106.54
02/26/2021,$108.03,15122850,$104.15,$109.48,$103.68
02/25/2021,$103.47,7534020,$104,$105.77,$103.11
02/24/2021,$104.38,7542690,$101.16,$104.51,$100.6
02/23/2021,$101.37,8740260,$103.34,$103.34,$99.93
02/22/2021,$101.81,5211754,$102.99,$102.99,$101.75
02/19/2021,$103.37,4129146,$104.75,$105.28,$103.22
02/18/2021,$104.97,4098865,$103.775,$105.34,$103.41
02/17/2021,$104.44,5735722,$105.105,$105.46,$104.15
02/16/2021,$106.15,4928053,$104.88,$106.59,$104.7
02/12/2021,$105.3,3169814,$105.74,$105.94,$104.72
02/11/2021,$105.86,2976042,$106.115,$106.23,$105.03
02/10/2021,$105.87,4293184,$106.78,$106.9,$104.93
02/09/2021,$106.22,4095226,$106,$106.83,$105.22
02/08/2021,$106.26,4836631,$106.42,$106.53,$105.34
02/05/2021,$106.48,8072094,$105.0871,$107.5399,$104.7823
02/04/2021,$103.64,6926764,$101.36,$104.24,$101.11
02/03/2021,$101.02,3934770,$101.25,$102.65,$100.81
02/02/2021,$101.65,6917661,$99.05,$102.48,$98.783
02/01/2021,$98.58,7206259,$96.99,$99.62,$96.92
01/29/2021,$96.81,8203032,$97.385,$97.79,$95.92
01/28/2021,$98.15,8868207,$98.935,$100.53,$98.1
01/27/2021,$97.87,18139470,$101.48,$101.78,$96.73
01/26/2021,$104.69,7195251,$103.4,$105.21,$103.24
01/25/2021,$103.45,5008991,$103.745,$103.95,$102.1694
01/22/2021,$103.91,5231584,$104.159,$104.47,$103.062
01/21/2021,$104.58,5732873,$105.46,$105.49,$104.45
01/20/2021,$105.46,5844257,$102.41,$105.85,$102.2
01/19/2021,$102.54,6519615,$102.797,$103.6,$101.34
